index,순번,이수구분,교과목명,캠퍼스구분,학점,강의시간/강의실,강의정보1,강의정보2,학부(과),영역구분
2942,563,기초교양,컴퓨터프로그래밍,가좌캠퍼스,3.0,"화3[451-0210],금1,2[451-0210]",화3[451-0210],"금1,2[451-0210]",,자연
2943,564,기초교양,컴퓨터프로그래밍,가좌캠퍼스,3.0,"월5[451-0210],수6,7[451-0210]",월5[451-0210],"수6,7[451-0210]",,자연
2944,565,기초교양,컴퓨터프로그래밍,가좌캠퍼스,3.0,"월6,7[451-0210],목5[451-0210]","월6,7[451-0210]",목5[451-0210],,자연
2945,566,기초교양,컴퓨터프로그래밍,가좌캠퍼스,3.0,"월1,2[451-0210],수3[451-0210]","월1,2[451-0210]",수3[451-0210],,자연
2946,567,기초교양,화학1,가좌캠퍼스,3.0,"화5[352-0428],목6,7[352-0428]",화5[352-0428],"목6,7[352-0428]",,자연
2947,568,기초교양,화학1,가좌캠퍼스,3.0,"월5[352-0111],수6,7[352-0111]",월5[352-0111],"수6,7[352-0111]",,자연
2948,569,기초교양,화학1,가좌캠퍼스,3.0,"월5[024-0241],수6,7[024-0241]",월5[024-0241],"수6,7[024-0241]",,자연
2949,570,기초교양,화학1,가좌캠퍼스,3.0,"화5[024-0256],목6,7[024-0256]",화5[024-0256],"목6,7[024-0256]",,자연
2950,571,기초교양,화학1,가좌캠퍼스,3.0,"수5[024-0273],금6,7[024-0273]",수5[024-0273],"금6,7[024-0273]",,자연
2951,572,기초교양,화학1,가좌캠퍼스,3.0,"화5[024-0275],목6,7[024-0275]",화5[024-0275],"목6,7[024-0275]",,자연
2952,573,기초교양,화학1,가좌캠퍼스,3.0,"수4[459-0310],금4,5[459-0310]",수4[459-0310],"금4,5[459-0310]",,자연
2953,574,기초교양,화학1,가좌캠퍼스,3.0,"화1,2[459-0310],목3[459-0310]","화1,2[459-0310]",목3[459-0310],,자연
2954,575,기초교양,화학1,가좌캠퍼스,3.0,"월8,9[501-B102],목8[501-B102]","월8,9[501-B102]",목8[501-B102],,자연
2955,576,기초교양,화학1,가좌캠퍼스,3.0,"월3[024-0227],목1,2[024-0227]",월3[024-0227],"목1,2[024-0227]",,자연
2957,578,기초교양,화학실험1,가좌캠퍼스,1.0,"월1,2[352-0343]","월1,2[352-0343]",,,자연
2958,579,기초교양,화학실험1,가좌캠퍼스,1.0,"월3,4[352-0343]","월3,4[352-0343]",,,자연
2959,580,기초교양,화학실험1,가좌캠퍼스,1.0,"금1,2[352-0343]","금1,2[352-0343]",,,자연
2960,581,기초교양,화학실험1,가좌캠퍼스,1.0,"금1,2[352-0436]","금1,2[352-0436]",,,자연
2961,582,기초교양,화학실험1,가좌캠퍼스,1.0,"금6,7[352-0343]","금6,7[352-0343]",,,자연
2962,583,기초교양,화학실험1,가좌캠퍼스,1.0,"월1,2[352-0436]","월1,2[352-0436]",,,자연
2963,584,기초교양,화학실험1,가좌캠퍼스,1.0,"목3,4[352-0436]","목3,4[352-0436]",,,자연
2964,585,기초교양,화학실험1,가좌캠퍼스,1.0,"화8,9[352-0436]","화8,9[352-0436]",,,자연
2965,586,기초교양,화학실험1,가좌캠퍼스,1.0,"목1,2[352-0343]","목1,2[352-0343]",,,자연
2966,587,기초교양,화학실험1,가좌캠퍼스,1.0,"목3,4[352-0343]","목3,4[352-0343]",,,자연
2967,588,기초교양,화학실험1,가좌캠퍼스,1.0,"월6,7[352-0343]","월6,7[352-0343]",,,자연
2968,589,기초교양,화학실험1,가좌캠퍼스,1.0,"수1,2[352-0343]","수1,2[352-0343]",,,자연
2969,590,기초교양,화학실험1,가좌캠퍼스,1.0,"수3,4[352-0436]","수3,4[352-0436]",,,자연
2970,591,기초교양,화학실험1,가좌캠퍼스,1.0,"수3,4[352-0343]","수3,4[352-0343]",,,자연
2971,592,기초교양,화학실험1,가좌캠퍼스,1.0,"수1,2[352-0436]","수1,2[352-0436]",,,자연
2972,593,기초교양,화학실험1,가좌캠퍼스,1.0,"목8,9[352-0343]","목8,9[352-0343]",,,자연
2973,594,기초교양,화학실험1,가좌캠퍼스,1.0,"금3,4[352-0343]","금3,4[352-0343]",,,자연
2974,595,기초교양,화학실험1,가좌캠퍼스,1.0,"금6,7[352-0436]","금6,7[352-0436]",,,자연
2975,596,기초교양,화학실험1,가좌캠퍼스,1.0,"수6,7[352-0436]","수6,7[352-0436]",,,자연
2976,597,기초교양,화학실험1,가좌캠퍼스,1.0,"목6,7[352-0436]","목6,7[352-0436]",,,자연
2977,598,기초교양,화학실험1,가좌캠퍼스,1.0,"목8,9[352-0436]","목8,9[352-0436]",,,자연
2978,599,기초교양,화학실험1,가좌캠퍼스,1.0,"월8,9[352-0343]","월8,9[352-0343]",,,자연
2979,600,기초교양,화학실험1,가좌캠퍼스,1.0,"월8,9[352-0436]","월8,9[352-0436]",,,자연
2980,601,기초교양,화학실험1,가좌캠퍼스,1.0,"월6,7[352-0436]","월6,7[352-0436]",,,자연
2981,602,기초교양,화학실험1,가좌캠퍼스,1.0,"목6,7[352-0343]","목6,7[352-0343]",,,자연
2982,603,기초교양,화학실험1,가좌캠퍼스,1.0,"화3,4[352-0343]","화3,4[352-0343]",,,자연
2983,604,기초교양,화학실험1,가좌캠퍼스,1.0,"화3,4[352-0436]","화3,4[352-0436]",,,자연
2984,605,기초교양,화학실험1,가좌캠퍼스,1.0,"화1,2[352-0343]","화1,2[352-0343]",,,자연
2985,606,기초교양,화학실험1,가좌캠퍼스,1.0,"화1,2[352-0436]","화1,2[352-0436]",,,자연
2986,607,기초교양,화학실험1,가좌캠퍼스,1.0,"화8,9[352-0343]","화8,9[352-0343]",,,자연
2987,608,기초교양,화학실험1,가좌캠퍼스,1.0,"화6,7[352-0436]","화6,7[352-0436]",,,자연
2989,610,기초교양,기본물리학,가좌캠퍼스,2.0,"수1,2[024-0125]","수1,2[024-0125]",,,자연
2990,611,기초교양,기본물리학,가좌캠퍼스,2.0,"목8,9[024-0175]","목8,9[024-0175]",,,자연
2993,614,기초교양,기본수학,가좌캠퍼스,2.0,"월1,2[024-0156]","월1,2[024-0156]",,,자연
2994,615,기초교양,기본수학,가좌캠퍼스,2.0,"목8,9[024-0156]","목8,9[024-0156]",,,자연
2997,618,기초교양,기본화학,가좌캠퍼스,2.0,"화8,9[024-0158]","화8,9[024-0158]",,,자연
2998,619,기초교양,기본화학,가좌캠퍼스,2.0,"금1,2[024-0158]","금1,2[024-0158]",,,자연
3000,621,기초교양,컴퓨터프로그래밍실습,가좌캠퍼스,1.0,월4[102-0204],월4[102-0204],,,자연
3001,622,기초교양,컴퓨터프로그래밍실습,가좌캠퍼스,1.0,화4[451-0210],화4[451-0210],,,자연
3002,623,기초교양,컴퓨터프로그래밍실습,가좌캠퍼스,1.0,월4[451-0210],월4[451-0210],,,자연
3003,624,기초교양,컴퓨터프로그래밍실습,가좌캠퍼스,1.0,목6[451-0210],목6[451-0210],,,자연
3004,625,기초교양,컴퓨터프로그래밍실습,가좌캠퍼스,1.0,수4[451-0210],수4[451-0210],,,자연
3005,626,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"목1,2,3[404-0209]","목1,2,3[404-0209]",,,자연
3006,627,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"월5[405-0209],수6,7[405-0209]",월5[405-0209],"수6,7[405-0209]",,자연
3007,628,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"금5,6,7[404-0209]","금5,6,7[404-0209]",,,자연
3008,629,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"금1,2,3[405-0413]","금1,2,3[405-0413]",,,자연
3009,630,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"월5,6,7[405-0413]","월5,6,7[405-0413]",,,자연
3012,633,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"월5[404-0209],수6,7[404-0209]",월5[404-0209],"수6,7[404-0209]",,자연
3013,634,기초교양,공학프로그래밍언어,가좌캠퍼스,3.0,"화1,2,3[407-0414]","화1,2,3[407-0414]",,,자연
3014,635,기초교양,기초통계학,가좌캠퍼스,3.0,"화1,2[352-0111],목3[352-0111]","화1,2[352-0111]",목3[352-0111],,자연
3015,636,기초교양,기초통계학,가좌캠퍼스,3.0,"화1,2[354-0504],목3[354-0504]","화1,2[354-0504]",목3[354-0504],,자연
3016,637,기초교양,기초통계학,가좌캠퍼스,3.0,"화5[456-0302],목6,7[456-0302]",화5[456-0302],"목6,7[456-0302]",,자연
3017,638,기초교양,기초통계학,가좌캠퍼스,3.0,"수1,2[459-0310],금3[459-0310]","수1,2[459-0310]",금3[459-0310],,자연
3019,640,기초교양,기초통계학,가좌캠퍼스,3.0,"화1,2[354-0325],목3[354-0325]","화1,2[354-0325]",목3[354-0325],,자연
3020,641,기초교양,기초통계학실습,가좌캠퍼스,1.0,화3[302-0104],화3[302-0104],,,자연
3021,642,기초교양,기초통계학실습,가좌캠퍼스,1.0,목4[302-0104],목4[302-0104],,,자연
3022,643,기초교양,기초통계학실습,가좌캠퍼스,1.0,화4[302-0104],화4[302-0104],,,자연
3023,644,기초교양,기초통계학실습,가좌캠퍼스,1.0,목3[302-0104],목3[302-0104],,,자연
3024,645,기초교양,기초통계학실습,가좌캠퍼스,1.0,목8[302-0104],목8[302-0104],,,자연
3025,646,기초교양,기초통계학실습,가좌캠퍼스,1.0,수8[029-0102],수8[029-0102],,,자연
3026,647,기초교양,기초통계학실습,가좌캠퍼스,1.0,수9[029-0102],수9[029-0102],,,자연
3027,648,기초교양,기초통계학실습,가좌캠퍼스,1.0,화8[302-0104],화8[302-0104],,,자연
3029,650,기초교양,기초통계학실습,가좌캠퍼스,1.0,화9[302-0104],화9[302-0104],,,자연
3030,652,핵심교양,English/Zone영어,가좌캠퍼스,4.0,"월11,12[069-0501],화11,12[069-0501],수11,12[069-0501],목11,12[069-0501]","월11,12[069-0501]","화11,12[069-0501],수11,12[069-0501],목11,12[069-0501]",,영어
3031,653,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"월6,7[303-0312]","월6,7[303-0312]",,,영어
3032,654,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"월3,4[303-0312]","월3,4[303-0312]",,,영어
3033,655,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"화1,2[303-0311]","화1,2[303-0311]",,,영어
3034,656,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"화8,9[303-0312]","화8,9[303-0312]",,,영어
3035,657,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"수1,2[303-0312]","수1,2[303-0312]",,,영어
3036,658,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"수3,4[303-0312]","수3,4[303-0312]",,,영어
3037,659,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"수6,7[303-0312]","수6,7[303-0312]",,,영어
3038,660,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"목1,2[303-0312]","목1,2[303-0312]",,,영어
3039,661,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"화3,4[303-0312]","화3,4[303-0312]",,,영어
3040,662,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"목6,7[303-0312]","목6,7[303-0312]",,,영어
3041,663,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"목8,9[303-0312]","목8,9[303-0312]",,,영어
3042,664,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"금1,2[303-0312]","금1,2[303-0312]",,,영어
3043,665,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"목1,2[303-0311]","목1,2[303-0311]",,,영어
3044,666,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"목3,4[303-0311]","목3,4[303-0311]",,,영어
3045,667,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"금3,4[303-0312]","금3,4[303-0312]",,,영어
3048,670,핵심교양,영어읽기와토론,가좌캠퍼스,2.0,"화6,7[303-0312]","화6,7[303-0312]",,,영어
3050,672,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"월1,2[029-0406]","월1,2[029-0406]",,,영어
3051,673,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"화1,2[029-0406]","화1,2[029-0406]",,,영어
3052,674,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"월3,4[029-0406]","월3,4[029-0406]",,,영어
3053,675,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"목1,2[029-0406]","목1,2[029-0406]",,,영어
3054,676,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"화6,7[029-0406]","화6,7[029-0406]",,,영어
3055,677,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"목6,7[029-0406]","목6,7[029-0406]",,,영어
3056,678,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"월8,9[029-0406]","월8,9[029-0406]",,,영어
3057,679,핵심교양,글로벌비지니스영어,가좌캠퍼스,2.0,"화8,9[029-0406]","화8,9[029-0406]",,,영어
3065,687,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월1,2[029-0301]","월1,2[029-0301]",,,영어
3066,688,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월1,2[029-0303]","월1,2[029-0303]",,,영어
3067,689,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월1,2[029-0304]","월1,2[029-0304]",,,영어
3068,690,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"수1,2[029-0306]","수1,2[029-0306]",,,영어
3069,691,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"화1,2[029-0301]","화1,2[029-0301]",,,영어
3070,692,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"화1,2[029-0303]","화1,2[029-0303]",,,영어
3071,693,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"화1,2[029-0304]","화1,2[029-0304]",,,영어
3072,694,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"수1,2[029-0303]","수1,2[029-0303]",,,영어
3073,695,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"수1,2[029-0304]","수1,2[029-0304]",,,영어
3074,696,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"목1,2[029-0301]","목1,2[029-0301]",,,영어
3075,697,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"목1,2[029-0303]","목1,2[029-0303]",,,영어
3076,698,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월6,7[029-0306]","월6,7[029-0306]",,,영어
3077,699,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"화1,2[029-0306]","화1,2[029-0306]",,,영어
3078,700,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"수3,4[029-0304]","수3,4[029-0304]",,,영어
3079,701,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"목1,2[029-0304]","목1,2[029-0304]",,,영어
3080,702,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월6,7[029-0301]","월6,7[029-0301]",,,영어
3081,703,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"수6,7[029-0306]","수6,7[029-0306]",,,영어
3082,704,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"목8,9[029-0406]","목8,9[029-0406]",,,영어
3083,705,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"목3,4[029-0301]","목3,4[029-0301]",,,영어
3084,706,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월1,2[029-0306]","월1,2[029-0306]",,,영어
3085,707,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월8,9[029-0306]","월8,9[029-0306]",,,영어
3086,708,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"화8,9[029-0306]","화8,9[029-0306]",,,영어
3087,709,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"목6,7[029-0301]","목6,7[029-0301]",,,영어
3088,710,핵심교양,미디어영어읽기와쓰기,가좌캠퍼스,2.0,"월6,7[029-0406]","월6,7[029-0406]",,,영어
3099,721,핵심교양,글로벌영어,가좌캠퍼스,2.0,"월6,7[102-0101]","월6,7[102-0101]",,,영어
3100,722,핵심교양,글로벌영어,가좌캠퍼스,2.0,"월6,7[024-0171]","월6,7[024-0171]",,,영어
3101,723,핵심교양,글로벌영어,가좌캠퍼스,2.0,"금1,2[024-0225]","금1,2[024-0225]",,,영어
3102,724,핵심교양,글로벌영어,가좌캠퍼스,2.0,"화1,2[024-0125]","화1,2[024-0125]",,,영어
3103,725,핵심교양,글로벌영어,가좌캠퍼스,2.0,"화3,4[024-0173]","화3,4[024-0173]",,,영어
3104,726,핵심교양,글로벌영어,가좌캠퍼스,2.0,"화8,9[024-0175]","화8,9[024-0175]",,,영어
3105,727,핵심교양,글로벌영어,가좌캠퍼스,2.0,"화6,7[024-0258]","화6,7[024-0258]",,,영어
3106,728,핵심교양,글로벌영어,가좌캠퍼스,2.0,"수1,2[024-0230]","수1,2[024-0230]",,,영어
3107,729,핵심교양,글로벌영어,가좌캠퍼스,2.0,"수1,2[024-0245]","수1,2[024-0245]",,,영어
3108,730,핵심교양,글로벌영어,가좌캠퍼스,2.0,"목8,9[024-0125]","목8,9[024-0125]",,,영어
3109,731,핵심교양,글로벌영어,가좌캠퍼스,2.0,"목1,2[024-0130]","목1,2[024-0130]",,,영어
3110,732,핵심교양,글로벌영어,가좌캠퍼스,2.0,"목6,7[024-0171]","목6,7[024-0171]",,,영어
3111,733,핵심교양,글로벌영어,가좌캠퍼스,2.0,"금3,4[024-0125]","금3,4[024-0125]",,,영어
3112,734,핵심교양,글로벌영어,가좌캠퍼스,2.0,"금3,4[024-0143]","금3,4[024-0143]",,,영어
3113,735,핵심교양,글로벌영어,가좌캠퍼스,2.0,"금6,7[024-0143]","금6,7[024-0143]",,,영어
3114,736,핵심교양,글로벌영어,가좌캠퍼스,2.0,"월8,9[024-0141]","월8,9[024-0141]",,,영어
3115,737,핵심교양,글로벌영어,가좌캠퍼스,2.0,"월8,9[024-0258]","월8,9[024-0258]",,,영어
3116,738,핵심교양,글로벌영어,가좌캠퍼스,2.0,"목6,7[024-0225]","목6,7[024-0225]",,,영어
3121,743,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화6,7[029-0301]","화6,7[029-0301]",,,영어
3122,744,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화6,7[029-0303]","화6,7[029-0303]",,,영어
3123,745,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"월8,9[029-0304]","월8,9[029-0304]",,,영어
3124,746,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화8,9[029-0301]","화8,9[029-0301]",,,영어
3125,747,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"수6,7[029-0301]","수6,7[029-0301]",,,영어
3126,748,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화8,9[029-0303]","화8,9[029-0303]",,,영어
3127,749,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화8,9[029-0304]","화8,9[029-0304]",,,영어
3128,750,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"목8,9[029-0301]","목8,9[029-0301]",,,영어
3129,751,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"목8,9[029-0304]","목8,9[029-0304]",,,영어
3130,752,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"수6,7[029-0303]","수6,7[029-0303]",,,영어
3131,753,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"수6,7[029-0304]","수6,7[029-0304]",,,영어
3132,754,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화6,7[029-0306]","화6,7[029-0306]",,,영어
3133,755,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"수3,4[029-0301]","수3,4[029-0301]",,,영어
3134,756,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"수3,4[029-0303]","수3,4[029-0303]",,,영어
3135,757,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"화6,7[029-0304]","화6,7[029-0304]",,,영어
3136,758,핵심교양,멀티미디어영어스피킹,가좌캠퍼스,2.0,"목8,9[029-0303]","목8,9[029-0303]",,,영어
3141,763,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"금6,7[101-0352]","금6,7[101-0352]",,,글쓰기
3142,764,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"화6,7[101-0229]","화6,7[101-0229]",,,글쓰기
3143,765,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"화3,4[101-0447]","화3,4[101-0447]",,,글쓰기
3144,766,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"월3,4[101-0245]","월3,4[101-0245]",,,글쓰기
3145,767,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"금6,7[101-0233]","금6,7[101-0233]",,,글쓰기
3146,768,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"금6,7[101-0348]","금6,7[101-0348]",,,글쓰기
3147,769,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"수1,2[101-0451]","수1,2[101-0451]",,,글쓰기
3148,770,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"화6,7[102-0404]","화6,7[102-0404]",,,글쓰기
3149,771,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"금8,9[201-0101]","금8,9[201-0101]",,,글쓰기
3150,772,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"금8,9[201-0104]","금8,9[201-0104]",,,글쓰기
3151,773,핵심교양,문제해결글쓰기,가좌캠퍼스,2.0,"금8,9[201-0203]","금8,9[201-0203]",,,글쓰기
